empirical_coverage,label,method,nominal_coverage
0.05034965034965035,OHSVGP (RBF),ohsvgp,0.1
0.10755244755244756,OHSVGP (RBF),ohsvgp,0.2
0.17244755244755244,OHSVGP (RBF),ohsvgp,0.30000000000000004
0.24643356643356643,OHSVGP (RBF),ohsvgp,0.4
0.3388811188811189,OHSVGP (RBF),ohsvgp,0.5
0.4439160839160839,OHSVGP (RBF),ohsvgp,0.6
0.5738461538461539,OHSVGP (RBF),ohsvgp,0.7000000000000001
0.7413986013986014,OHSVGP (RBF),ohsvgp,0.8
0.9118881118881119,OHSVGP (RBF),ohsvgp,0.9
0.14503496503496505,ST-SVGP,st_svgp,0.1
0.29188811188811187,ST-SVGP,st_svgp,0.2
0.4276923076923077,ST-SVGP,st_svgp,0.30000000000000004
0.546013986013986,ST-SVGP,st_svgp,0.4
0.6602797202797203,ST-SVGP,st_svgp,0.5
0.7534265734265734,ST-SVGP,st_svgp,0.6
0.8349650349650349,ST-SVGP,st_svgp,0.7000000000000001
0.8998601398601399,ST-SVGP,st_svgp,0.8
0.9525874125874126,ST-SVGP,st_svgp,0.9
0.19412587412587412,Route B ordinary,routeb_ordinary,0.1
0.3674125874125874,Route B ordinary,routeb_ordinary,0.2
0.5251748251748252,Route B ordinary,routeb_ordinary,0.30000000000000004
0.6556643356643357,Route B ordinary,routeb_ordinary,0.4
0.7661538461538462,Route B ordinary,routeb_ordinary,0.5
0.846013986013986,Route B ordinary,routeb_ordinary,0.6
0.9026573426573427,Route B ordinary,routeb_ordinary,0.7000000000000001
0.9443356643356643,Route B ordinary,routeb_ordinary,0.8
0.9709090909090909,Route B ordinary,routeb_ordinary,0.9
0.16391608391608392,Route B cumulative HiPPO,routeb_hippo,0.1
0.31874125874125875,Route B cumulative HiPPO,routeb_hippo,0.2
0.46881118881118883,Route B cumulative HiPPO,routeb_hippo,0.30000000000000004
0.598041958041958,Route B cumulative HiPPO,routeb_hippo,0.4
0.7086713286713286,Route B cumulative HiPPO,routeb_hippo,0.5
0.801958041958042,Route B cumulative HiPPO,routeb_hippo,0.6
0.8685314685314686,Route B cumulative HiPPO,routeb_hippo,0.7000000000000001
0.9186013986013986,Route B cumulative HiPPO,routeb_hippo,0.8
0.9601398601398602,Route B cumulative HiPPO,routeb_hippo,0.9
